Name                                                      Stmts   Miss  Cover
-----------------------------------------------------------------------------
myproj\__init__.py                                            0      0   100%
myproj\file_repo\__init__.py                                  0      0   100%
myproj\file_repo\file_reader_factory.py                     122     19    84%
myproj\model\__init__.py                                      0      0   100%
myproj\model\service.py                                      22      2    91%
myproj\model\subscription.py                                 33      3    91%
myproj\model\user.py                                         24      0   100%
myproj\model\util\__init__.py                                 0      0   100%
myproj\model\util\criteria.py                                12      0   100%
myproj\service\__init__.py                                    0      0   100%
myproj\service\service.py                                    34      1    97%
myproj\service\subscription.py                               51      3    94%
myproj\service\user.py                                       63      1    98%
tests\__init__.py                                             0      0   100%
tests\file_repo\__init__.py                                   0      0   100%
tests\file_repo\conftest.py                                  16      0   100%
tests\file_repo\test_data_converter.py                       12      0   100%
tests\file_repo\test_data_factory.py                         18      0   100%
tests\file_repo\test_data_loader.py                          46      0   100%
tests\file_repo\test_data_processor.py                       20      0   100%
tests\file_repo\test_data_validator.py                       10      0   100%
tests\model\__init__.py                                       0      0   100%
tests\model\service\__init__.py                               0      0   100%
tests\model\service\test_update_service.py                   27      0   100%
tests\model\subscription\__init__.py                          0      0   100%
tests\model\subscription\test_update_subscription.py         51      0   100%
tests\model\user\__init__.py                                  0      0   100%
tests\model\user\test_user_is_older_than.py                  16      0   100%
tests\service\__init__.py                                     0      0   100%
tests\service\service\__init__.py                             0      0   100%
tests\service\service\conftest.py                            32      0   100%
tests\service\service\test_data_to_service.py                24      0   100%
tests\service\service\test_service.py                        30      0   100%
tests\service\subscription\__init__.py                        0      0   100%
tests\service\subscription\test_subscription_service.py      73      0   100%
tests\service\user\__init__.py                                0      0   100%
tests\service\user\conftest.py                               52      0   100%
tests\service\user\test_user_repo.py                         44      0   100%
tests\service\user\test_user_service.py                      31      0   100%
tests\service\user\test_users_older_than.py                  20      0   100%
-----------------------------------------------------------------------------
TOTAL                                                       883     29    97%
